RMS,Peak,Freq,Crest,THD
0.1153,0.1822,62.5,1.58,2.142411238026543
0.1153,0.1791,62.5,1.553,2.148296149369955
0.1158,0.1744,62.5,1.506,2.0623168298632444
0.1145,0.1837,62.5,1.604,1.962368573158984
0.115,0.1765,62.5,1.534,2.118814131734202
0.1165,0.1666,62.5,1.43,2.0267445243920723
0.1146,0.1824,62.5,1.592,2.022371348922707
0.1152,0.1792,62.5,1.555,2.1455639470332066
0.1153,0.1816,62.5,1.575,2.101303359317363
0.116,0.1716,62.5,1.479,2.0469131138912338
0.1146,0.1863,62.5,1.626,1.9473042009709816
0.1157,0.18,62.5,1.555,2.0852305402101
0.1148,0.1849,62.5,1.611,2.0092096662028487
0.1163,0.1704,62.5,1.465,2.030814875430693
0.1151,0.186,62.5,1.616,2.0752977215343202
0.1152,0.1799,62.5,1.562,2.1240671831122264
0.1158,0.1773,62.5,1.531,2.095699422456542
0.1144,0.1859,62.5,1.624,1.9334673502507727
0.1147,0.1828,62.5,1.594,2.004191455688005
0.1153,0.1784,62.5,1.547,2.1116613505479145
0.1162,0.1666,62.5,1.433,2.0237944039594358
0.1147,0.1883,75.0,1.641,1.9263431984234631
0.1161,0.1724,62.5,1.485,2.061545802901433
0.1153,0.179,62.5,1.553,2.156825771138286
0.1152,0.1819,62.5,1.578,2.1369512355083278
0.1157,0.177,62.5,1.529,2.1085033060692595
0.1148,0.1807,62.5,1.573,2.095943332426826
0.1142,0.1853,75.0,1.622,1.923955451663647
0.1156,0.1781,62.5,1.54,2.1453916548800382
0.1155,0.1798,62.5,1.556,2.1559838331078587
0.1151,0.1804,62.5,1.567,2.1471789953431113
0.1156,0.1777,62.5,1.537,2.133356040920658
0.1149,0.1816,62.5,1.581,2.06743423174465
0.1144,0.1851,75.0,1.618,1.9228795323499073
0.1157,0.1788,62.5,1.545,2.1393569177515848
0.1164,0.169,62.5,1.452,2.026997973609617
0.1164,0.1675,62.5,1.439,2.0274779151494844
0.1164,0.174,62.5,1.495,2.0616862087708885
0.115,0.1847,62.5,1.606,1.9673558778815268
0.1165,0.1713,62.5,1.47,2.050027947154427
0.1161,0.1758,62.5,1.514,2.0955978220832496
0.1154,0.1779,62.5,1.542,2.1566629944133218
0.1145,0.1835,62.5,1.603,1.9362414259414982
0.115,0.1839,62.5,1.599,1.9825150337312827
0.1149,0.1872,62.5,1.629,1.9627211717110884
0.1153,0.181,62.5,1.57,2.101532829918406
0.1148,0.1867,75.0,1.627,1.9261665052270174
0.1152,0.1816,62.5,1.576,2.0206952159173865
0.1162,0.1763,62.5,1.516,2.0790258607874508
0.1151,0.1838,62.5,1.597,1.98970930968758
0.1154,0.1822,62.5,1.579,2.0987035829196627
0.1157,0.1799,62.5,1.555,2.112884720075059
0.1148,0.1863,75.0,1.623,1.9253484931897318
0.1161,0.1751,62.5,1.508,2.088204206783593
