RMS,Peak,Freq,Crest,THD
0.1151,0.1788,62.5,1.553,2.130897850798081
0.1161,0.1636,62.5,1.409,2.023218508342602
0.115,0.1835,62.5,1.596,2.087473020609429
0.1154,0.178,62.5,1.542,2.125214860693422
0.1142,0.1893,62.5,1.657,1.9452049264821145
0.1163,0.1677,62.5,1.442,2.0294363813356897
0.116,0.1722,62.5,1.485,2.056023346654833
0.1147,0.1785,62.5,1.556,2.081329473397333
0.1145,0.1853,75.0,1.617,1.9271733085160025
0.1162,0.1673,62.5,1.44,2.0351053036506244
0.1163,0.1673,62.5,1.439,2.0308401583720572
0.1149,0.1817,62.5,1.581,2.0443049501584576
0.1147,0.1848,62.5,1.61,1.9710223525410764
0.1154,0.1806,62.5,1.566,2.08554648944634
0.1162,0.1713,62.5,1.475,2.047579068272554
0.115,0.1869,62.5,1.626,1.9527049820159086
0.1148,0.183,62.5,1.594,2.034456571395089
0.1157,0.1768,62.5,1.528,2.0964257339570427
0.115,0.1805,62.5,1.569,2.0951875130343462
0.115,0.1823,62.5,1.585,2.1081173039952437
0.1156,0.1767,62.5,1.529,2.098301343053708
0.1165,0.1674,62.5,1.437,2.032364049559185
0.116,0.1737,62.5,1.498,2.091649335843736
0.116,0.1746,62.5,1.505,2.108305470808841
0.1144,0.1898,75.0,1.659,1.930551440237643
0.115,0.1845,62.5,1.605,1.9830406160322764
0.1153,0.179,62.5,1.553,2.150158131878494
0.1153,0.1801,62.5,1.562,2.1367249149892356
0.1152,0.183,62.5,1.589,2.1011538529899494
0.1161,0.1776,62.5,1.53,2.1183521382960744
0.1155,0.1774,62.5,1.536,2.134491206702006
0.1159,0.1766,62.5,1.524,2.0850750988622853
0.1151,0.1782,62.5,1.549,2.160179759907862
0.1165,0.1688,62.5,1.449,2.0422814137223133
0.1145,0.1841,62.5,1.607,1.9707827148851893
0.1162,0.1645,62.5,1.416,2.0225577170003626
0.1143,0.1866,62.5,1.633,1.9340167097048844
0.1163,0.167,62.5,1.437,2.034140512675464
0.1144,0.1862,62.5,1.627,1.9515238822413647
0.1165,0.167,62.5,1.434,2.0284116238042293
0.1157,0.1762,62.5,1.523,2.117915733237253
0.1162,0.1699,62.5,1.462,2.035033292437097
0.1163,0.1707,62.5,1.467,2.027587473394405
0.1145,0.1836,62.5,1.604,1.9981083569871774
0.1144,0.1881,75.0,1.645,1.9278395426708987
0.1157,0.1765,62.5,1.526,2.119395284132443
0.116,0.1713,62.5,1.477,2.059466424956365
0.116,0.1741,62.5,1.501,2.07323488241787
0.1151,0.1785,62.5,1.551,2.15962405713201
0.1162,0.1661,62.5,1.43,2.0253951111275175
0.116,0.1711,62.5,1.475,2.0557239513196883
0.1141,0.1882,75.0,1.649,1.9217425139219702
0.1153,0.1781,62.5,1.545,2.145901601279689
0.116,0.1744,62.5,1.504,2.074241011092934
0.1161,0.1684,62.5,1.451,2.036288848664292
0.1145,0.1839,62.5,1.607,1.9585842280972172
0.1148,0.181,62.5,1.577,2.06138909108649
0.1143,0.1843,62.5,1.612,1.997989266465764
0.1149,0.179,62.5,1.558,2.1552155891892903
0.1159,0.1728,62.5,1.491,2.0919210312325736
0.1162,0.1723,62.5,1.482,2.0488539783876263
0.1145,0.1818,62.5,1.588,2.070752426855487
0.1145,0.1859,62.5,1.623,1.9350590125482892
0.1139,0.1848,62.5,1.623,1.93164553258771
0.1157,0.1736,62.5,1.501,2.0826235386388454
0.1162,0.1696,62.5,1.459,2.0245501030200495
0.1141,0.1857,75.0,1.628,1.9264207019163442
0.1148,0.1821,62.5,1.586,2.09084242351205
0.1163,0.1707,62.5,1.468,2.0402466452700585
0.1144,0.1811,62.5,1.582,2.1466740101878092
0.1148,0.1836,62.5,1.599,2.026678549047281
0.1138,0.1865,62.5,1.639,1.9493936455858243
0.1143,0.1857,62.5,1.624,1.9951570162726542
0.1154,0.1775,62.5,1.539,2.0914767348901298
0.1157,0.1682,62.5,1.454,2.0234833385296715
0.1155,0.1752,62.5,1.517,2.097766318530458
0.1142,0.1851,62.5,1.62,2.0040413816189635
0.1145,0.1875,62.5,1.638,1.9375391339802697
0.1156,0.1815,62.5,1.57,2.1454609609768043
0.1148,0.1799,62.5,1.568,2.122458909541425
0.1162,0.1717,62.5,1.478,2.0633460526701524
0.1154,0.1777,62.5,1.54,2.1169715902863926
0.1147,0.1829,62.5,1.594,2.052235577350486
0.1146,0.1778,62.5,1.552,2.151176907569925
0.1159,0.1688,62.5,1.456,2.0363540516907292
0.115,0.1807,62.5,1.572,2.152693310270266
0.1142,0.1827,62.5,1.6,1.9791483478542347
0.1149,0.1811,62.5,1.576,2.0869766830784866
0.1161,0.173,62.5,1.49,2.0464789492386553
0.1142,0.1846,75.0,1.616,1.9282505514006392
0.1162,0.167,62.5,1.437,2.0364525437587706
0.1143,0.1881,62.5,1.646,1.9390679811347904
0.1159,0.1733,62.5,1.496,2.0890160120127645
0.1145,0.1803,62.5,1.575,2.0603884490523585
0.1147,0.1818,62.5,1.586,2.0846006553397167
0.1155,0.1747,62.5,1.513,2.107871909012336
0.1147,0.1827,62.5,1.593,2.0378022228997916
0.1154,0.1751,62.5,1.518,2.0735291322276006
0.1148,0.1871,62.5,1.63,2.007195287802459
0.1155,0.167,62.5,1.445,2.02684143485338
0.1149,0.175,62.5,1.523,2.106936653369344
0.1144,0.1861,62.5,1.626,1.9763567707664735
0.1157,0.1741,62.5,1.505,2.061560791257778
0.1142,0.1843,62.5,1.614,1.9369713395163073
0.1158,0.1742,62.5,1.505,2.067704900156847
0.1156,0.1699,62.5,1.47,2.0342834781142294
0.1149,0.1824,62.5,1.588,2.0831029147458087
0.1152,0.1789,62.5,1.553,2.130676251934847
0.1141,0.1849,62.5,1.621,1.9447970627921158
0.1142,0.1854,62.5,1.623,1.9358484869821417
0.1143,0.1849,62.5,1.617,2.003508220292883
0.1157,0.1734,62.5,1.498,2.0461077444496145
0.1161,0.1705,62.5,1.468,2.0498330098185713
0.1159,0.1766,62.5,1.524,2.1000722717072424
0.1141,0.1851,62.5,1.622,1.9296497850176608
0.1158,0.1672,62.5,1.444,2.027927251407741
0.1156,0.1751,62.5,1.514,2.060727494135697
0.116,0.1702,62.5,1.467,2.052004274082122
0.1153,0.1793,62.5,1.555,2.123798249308794
0.1142,0.1828,62.5,1.601,1.9913128270189422
0.1159,0.1735,62.5,1.497,2.0692078929065443
0.1146,0.1829,62.5,1.596,2.0306798374211135
0.1149,0.1779,62.5,1.549,2.140432429392197
0.1151,0.1789,62.5,1.554,2.114089074373309
0.1145,0.1864,62.5,1.628,1.9793589859361498
0.1156,0.1693,62.5,1.465,2.0402033061437255
0.1144,0.1847,62.5,1.614,1.9281192720587708
0.1159,0.1741,62.5,1.502,2.0558596752130085
0.1147,0.1813,62.5,1.58,2.0985191407699006
0.1153,0.1811,62.5,1.57,2.1149169619931043
0.1161,0.1667,62.5,1.435,2.022692285487697
